player_id,player_name,primary_team,competitions_played,n_matches_played,total_minutes_played,primary_position
42900,Cheik Ismaël Tioté,Newcastle United,Premier League,20,1258.0,Right Center Midfield
20046,Phil Jagielka,Everton,Premier League,21,1929.0,Left Center Back
3083,Heung-Min Son,Tottenham Hotspur,Premier League,28,1166.0,Right Wing
9014,Declan Rudd,Norwich City,Premier League,11,1034.0,Goalkeeper
28559,Enner Remberto Valencia Lastra,West Ham United,Premier League,19,1070.0,Center Forward
19847,Alessandro Diamanti,Atalanta,"Premier League, Serie A",19,967.0,Center Attacking Midfield
3725,José Holebas,Watford,Premier League,11,982.0,Left Back
20302,Gaël Clichy,Manchester City,Premier League,14,1130.0,Left Back
5689,Juan Guillermo Cuadrado Bello,Juventus,"Premier League, Serie A",29,1831.0,Right Wing Back
3970,Fraser Forster,Southampton,Premier League,18,1697.0,Goalkeeper
4346,Gilbert Gianelli Imbula Wanga,Stoke City,Premier League,14,1316.0,Left Defensive Midfield
6950,Alberto Paloschi,Chievo,"Premier League, Serie A",31,2404.0,Right Center Forward
5597,Keylor Navas Gamboa,Real Madrid,La Liga,34,3152.0,Goalkeeper
5721,Daniel Carvajal Ramos,Real Madrid,La Liga,22,1675.0,Right Back
20016,Kléper Laveran Lima Ferreira,Real Madrid,La Liga,21,1936.0,Right Center Back
5485,Raphaël Varane,Real Madrid,La Liga,26,2253.0,Right Center Back
5552,Marcelo Vieira da Silva Júnior,Real Madrid,La Liga,30,2548.0,Left Back
5574,Toni Kroos,Real Madrid,La Liga,32,2808.0,Center Defensive Midfield
5463,Luka Modrić,Real Madrid,La Liga,32,2675.0,Right Center Midfield
4926,Francisco Román Alarcón Suárez,Real Madrid,La Liga,31,1870.0,Left Center Midfield
6399,Gareth Frank Bale,Real Madrid,La Liga,23,1771.0,Right Wing
5207,Cristiano Ronaldo dos Santos Aveiro,Real Madrid,La Liga,36,3274.0,Left Wing
19677,Karim Benzema,Real Madrid,La Liga,27,2008.0,Center Forward
6610,Iván Cuéllar Sacristán,Sporting Gijón,La Liga,32,2972.0,Goalkeeper
26633,Alberto Lora Ramos,Sporting Gijón,La Liga,31,2507.0,Right Back
6561,Luis Hernández Rodríguez,Sporting Gijón,La Liga,36,3331.0,Right Center Back
